utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking
1732153409000,20479000000,,701086.9958242913,-1416188606521999872,0.0,154.68721893088002,1195.102453968399,0.0,0,4,0.0,16431,351826912997978,797,18.399999618530273,222.09148535584086,0.14999,16,0.0,0.0,1575420030,,,,0,1.5527322692712389,6,6.0,18.399999618530273,0.0,0.0,-49.6254841339032,66.7128,C,32293092000000,
1732153409000,20479000000,,701086.9958242913,-1416188606521999872,0.0,154.68721893088002,1195.102453968399,0.0,0,6,0.0,16431,351826922377314,396,23.513999938964844,-286.1472810833582,0.14999,16,0.0,0.0,1575420030,,,,0,7.847357736098625,1,6.0,23.513999938964844,0.0,0.0,0.0,66.7128,C,32293092000000,
1732153410000,21479000000,,701053.1182208727,-1416188606521999872,0.0,154.67735747405558,1189.5239891562708,0.0,0,15,0.0,16431,351827924111150,487,17.506999969482422,684.9486952138457,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.506999969482422,0.0,0.0,0.0,66.7128,C,32294092000000,
1732153410000,21479000000,,701053.1182208727,-1416188606521999872,0.0,154.67735747405558,1189.5239891562708,0.0,0,30,0.0,16431,351827923676017,487,25.472999572753906,960.612866971377,0.14999,16,0.0,0.0,1575420030,,,,0,10.676937476424843,1,6.0,25.472999572753906,0.0,0.0,0.0,66.7128,C,32294092000000,
1732153410000,21479000000,,701053.1182208727,-1416188606521999872,0.0,154.67735747405558,1189.5239891562708,0.0,0,13,0.0,16431,351827927161990,487,23.513999938964844,859.1807643599033,0.14999,16,0.0,0.0,1575420030,,,,0,7.847357736098625,1,6.0,23.513999938964844,0.0,0.0,0.0,66.7128,C,32294092000000,
1732153410000,21479000000,,701053.1182208727,-1416188606521999872,0.0,154.67735747405558,1189.5239891562708,0.0,0,12,0.0,17,534185,487,20.464000701904297,-187.8425732175131,0.14999,16,0.0,0.0,1575420030,,,,0,2.986596762372736,1,6.0,20.464000701904297,0.0,0.0,0.0,66.7128,C,32294092000000,
1732153410000,21479000000,,701053.1182208727,-1416188606521999872,0.0,154.67735747405558,1189.5239891562708,0.0,0,4,0.0,16431,351827912997255,1837,11.800000190734863,220.93371839466613,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,6,6.0,11.800000190734863,0.0,0.0,-49.6254841339032,66.7128,C,32294092000000,
1732153410000,21479000000,,701053.1182208727,-1416188606521999872,0.0,154.67735747405558,1189.5239891562708,0.0,0,6,0.0,16431,351827922378269,487,22.445999145507812,-287.55204421431625,0.14999,16,0.0,0.0,1575420030,,,,0,6.252936182757782,1,6.0,22.445999145507812,0.0,0.0,0.0,66.7128,C,32294092000000,
1732153411000,22479000000,,701013.8723202969,-1416188606521999872,0.0,151.7537091015085,1185.453469698793,0.0,0,15,0.0,16431,351828924108865,487,21.37299919128418,683.4105964283634,0.14999,16,0.0,0.0,1575420030,,,,0,4.538693918626131,1,6.0,21.37299919128418,0.0,0.0,0.0,66.7128,C,32295092000000,
1732153411000,22479000000,,701013.8723202969,-1416188606521999872,0.0,151.7537091015085,1185.453469698793,0.0,0,30,0.0,16431,351828923672814,487,21.284000396728516,959.503811659599,0.14999,16,0.0,0.0,1575420030,,,,0,4.379315325200624,1,6.0,21.284000396728516,0.0,0.0,0.0,66.7128,C,32295092000000,
1732153411000,22479000000,,701013.8723202969,-1416188606521999872,0.0,151.7537091015085,1185.453469698793,0.0,0,13,0.0,16431,351828927159125,487,23.513999938964844,858.521798184373,0.14999,16,0.0,0.0,1575420030,,,,0,7.847357736098625,1,6.0,23.513999938964844,0.0,0.0,0.0,66.7128,C,32295092000000,
1732153411000,22479000000,,701013.8723202969,-1416188606521999872,0.0,151.7537091015085,1185.453469698793,0.0,0,12,0.0,17,534813,487,17.341999053955078,-188.58098328476336,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.341999053955078,0.0,0.0,0.0,66.7128,C,32295092000000,
1732153411000,22479000000,,701013.8723202969,-1416188606521999872,0.0,151.7537091015085,1185.453469698793,0.0,0,4,0.0,16431,351828912996520,1797,11.800000190734863,219.70598505867835,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,6,6.0,11.800000190734863,0.0,0.0,-48.41165631786535,66.7128,C,32295092000000,
1732153411000,22479000000,,701013.8723202969,-1416188606521999872,0.0,151.7537091015085,1185.453469698793,0.0,0,2,0.0,16431,351828917187705,797,16.30299949645996,821.8433431703152,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,16.30299949645996,0.0,0.0,0.0,66.7128,C,32295092000000,
1732153411000,22479000000,,701013.8723202969,-1416188606521999872,0.0,151.7537091015085,1185.453469698793,0.0,0,6,0.0,16431,351828922379229,797,18.844999313354492,-288.3306872700049,0.14999,16,0.0,0.0,1575420030,,,,0,0.10171892629900459,1,6.0,18.844999313354492,0.0,0.0,0.0,66.7128,C,32295092000000,
1732153412000,23479000000,,700976.2421208074,-1416188606521999872,0.0,151.82340097122133,1182.0713275561657,0.0,0,15,0.0,16431,351829924106588,487,21.256000518798828,682.9389041285779,0.14999,16,0.0,0.0,1575420030,,,,0,0.4878220302067371,1,6.0,21.256000518798828,0.0,0.0,0.0,66.7128,C,32296092000000,
1732153412000,23479000000,,700976.2421208074,-1416188606521999872,0.0,151.82340097122133,1182.0713275561657,0.0,0,30,0.0,16431,351829923669615,797,20.152000427246094,958.5168490656224,0.14999,16,0.0,0.0,1575420030,,,,0,2.501225267834001,1,6.0,20.152000427246094,0.0,0.0,0.0,66.7128,C,32296092000000,
1732153412000,23479000000,,700976.2421208074,-1416188606521999872,0.0,151.82340097122133,1182.0713275561657,0.0,0,13,0.0,16431,351829927156262,487,23.513999938964844,858.2091330432761,0.14999,16,0.0,0.0,1575420030,,,,0,7.847357736098625,1,6.0,23.513999938964844,0.0,0.0,0.0,66.7128,C,32296092000000,
1732153412000,23479000000,,700976.2421208074,-1416188606521999872,0.0,151.82340097122133,1182.0713275561657,0.0,0,12,0.0,17,535446,487,18.90999984741211,-189.45700318082928,0.14999,16,0.0,0.0,1575420030,,,,0,0.232336269478159,1,6.0,18.90999984741211,0.0,0.0,0.0,66.7128,C,32296092000000,
1732153412000,23479000000,,700976.2421208074,-1416188606521999872,0.0,151.82340097122133,1182.0713275561657,0.0,0,4,0.0,16431,351829912995789,797,11.800000190734863,218.8434381033135,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,6,6.0,11.800000190734863,0.0,0.0,-47.367579603891244,66.7128,C,32296092000000,
1732153412000,23479000000,,700976.2421208074,-1416188606521999872,0.0,151.82340097122133,1182.0713275561657,0.0,0,2,0.0,16431,351829917184966,797,16.30299949645996,820.982282884269,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,16.30299949645996,0.0,0.0,0.0,66.7128,C,32296092000000,
1732153412000,23479000000,,700976.2421208074,-1416188606521999872,0.0,151.82340097122133,1182.0713275561657,0.0,0,6,0.0,16431,351829922380193,797,18.844999313354492,-289.25753267340514,0.14999,16,0.0,0.0,1575420030,,,,0,0.10171892629900459,1,6.0,18.844999313354492,0.0,0.0,0.0,66.7128,C,32296092000000,
1732153413000,24479000000,,700931.1588485659,-1416188606521999872,0.0,146.39840361850065,1179.773522811188,0.0,0,15,0.0,16431,351830924104309,487,21.236000061035156,682.2014232296517,0.14999,16,0.0,0.0,1575420030,,,,0,3.71084021546163,1,6.0,21.236000061035156,0.0,0.0,0.0,66.7128,C,32297092000000,
1732153413000,24479000000,,700931.1588485659,-1416188606521999872,0.0,146.39840361850065,1179.773522811188,0.0,0,30,0.0,16431,351830923666419,797,20.152000427246094,958.4432589343448,0.14999,16,0.0,0.0,1575420030,,,,0,2.501225267834001,1,6.0,20.152000427246094,0.0,0.0,0.0,66.7128,C,32297092000000,
1732153413000,24479000000,,700931.1588485659,-1416188606521999872,0.0,146.39840361850065,1179.773522811188,0.0,0,13,0.0,16431,351830927153401,396,18.43199920654297,857.9065029200807,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,18.43199920654297,0.0,0.0,0.0,66.7128,C,32297092000000,
