# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,27,7,1,2,1575420030,0.00,53.0,19.0,0,0,0,0.0
Status,,27,8,1,24,1575420030,0.00,312.0,11.0,0,0,0,0.0
Status,,27,9,1,7,1575420030,0.00,128.0,10.0,0,0,0,0.0
Status,,27,10,1,21,1575420030,0.00,38.0,8.0,0,0,0,0.0
Status,,27,11,1,6,1575420030,0.00,165.0,6.0,0,0,0,0.0
Status,,27,12,3,20,1602000000,0.00,124.0,47.0,0,0,0,0.0
Status,,27,13,3,9,1602000000,0.00,72.0,37.0,0,0,0,0.0
Status,,27,14,3,8,1602000000,23.90,253.0,28.0,0,0,0,18.9
Status,,27,15,3,19,1602000000,0.00,39.0,28.0,0,0,0,0.0
Status,,27,16,3,11,1602000000,28.90,304.0,23.0,0,0,0,23.9
Status,,27,17,6,21,1575420030,0.00,330.0,67.0,0,0,0,0.0
Status,,27,18,6,19,1575420030,0.00,250.0,50.0,0,0,0,0.0
Status,,27,19,6,27,1575420030,0.00,60.0,37.0,0,0,0,0.0
Status,,27,20,6,29,1575420030,0.00,192.0,30.0,0,0,0,0.0
Status,,27,21,6,13,1575420030,0.00,124.0,24.0,0,0,0,0.0
Status,,27,22,6,15,1575420030,0.00,68.0,23.0,0,0,0,0.0
Status,,27,23,6,4,1575420030,0.00,315.0,20.0,0,0,0,0.0
Status,,27,24,6,26,1575420030,0.00,169.0,2.0,0,0,0,0.0
Status,,27,25,6,6,1575420030,0.00,329.0,1.0,0,0,0,0.0
Status,,27,26,6,34,1575420030,0.00,24.0,1.0,0,0,0,0.0
Fix,FLP,37.4248253000,-122.1585458000,2.968765758673409,0.040376525,5.5,,1732151041121,2.1,,29924969000000,12.655594,0,,,
Fix,NLP,37.4257108000,-122.1580981000,5.400000095367432,,68.4,,1732151041121,,,29924969000000,13.898563,0,,,
Status,,27,0,1,17,1575420030,0.00,122.0,79.0,0,0,0,0.0
Status,,27,1,1,22,1575420030,0.00,358.0,68.0,0,0,0,0.0
Status,,27,2,1,14,1575420030,0.00,44.0,57.0,0,0,0,0.0
Status,,27,3,1,19,1575420030,0.00,198.0,54.0,0,0,0,0.0
Status,,27,4,1,13,1575420030,21.60,244.0,52.0,1,0,0,16.6
Status,,27,5,1,30,1575420030,25.40,126.0,42.0,1,0,0,20.4
Status,,27,6,1,15,1575420030,19.70,282.0,31.0,1,0,0,14.700001
Status,,27,7,1,2,1575420030,0.00,53.0,19.0,0,0,0,0.0
Status,,27,8,1,24,1575420030,0.00,312.0,11.0,0,0,0,0.0
Status,,27,9,1,7,1575420030,23.30,128.0,10.0,1,0,0,18.3
Status,,27,10,1,21,1575420030,25.80,38.0,8.0,1,0,0,20.8
Status,,27,11,1,6,1575420030,0.00,165.0,6.0,0,0,0,0.0
Status,,27,12,3,20,1602000000,0.00,124.0,47.0,0,0,0,0.0
Status,,27,13,3,9,1602000000,0.00,72.0,37.0,0,0,0,0.0
Status,,27,14,3,8,1602000000,0.00,253.0,28.0,0,0,0,0.0
Status,,27,15,3,19,1602000000,0.00,39.0,28.0,0,0,0,0.0
Status,,27,16,3,11,1602000000,21.10,304.0,23.0,0,0,0,16.1
Status,,27,17,6,21,1575420030,0.00,330.0,67.0,0,0,0,0.0
Status,,27,18,6,19,1575420030,0.00,250.0,50.0,0,0,0,0.0
Status,,27,19,6,27,1575420030,0.00,60.0,37.0,0,0,0,0.0
Status,,27,20,6,29,1575420030,0.00,192.0,30.0,0,0,0,0.0
Status,,27,21,6,13,1575420030,0.00,124.0,24.0,0,0,0,0.0
Status,,27,22,6,15,1575420030,0.00,68.0,23.0,0,0,0,0.0
Status,,27,23,6,4,1575420030,0.00,315.0,20.0,0,0,0,0.0
Status,,27,24,6,26,1575420030,0.00,169.0,2.0,0,0,0,0.0
Status,,27,25,6,6,1575420030,0.00,329.0,1.0,0,0,0,0.0
Status,,27,26,6,34,1575420030,0.00,24.0,1.0,0,0,0,0.0
Fix,GPS,37.4247950000,-122.1585366667,-0.5,0.0,5.7,0.0,1732151041366,2.1,179.9,29925471000000,61.6,0,,,
Fix,FLP,37.4248115000,-122.1585419000,2.7290143873662904,0.08927837,5.55,,1732151041624,2.1,,29925471000000,12.741729,0,,,
Raw,1732151041367,20514000000,,33353073.878863223,-1416186238853000192,0.0,138.6420688012597,1412.2564296239898,0.0,0,13,0.0,16431,349459297082291,797,16.635000228881836,694.1674387425028,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,16.635000228881836,0.0,0.0,0.0,66.7128,C,29925471000000,
Raw,1732151041367,20514000000,,33353073.878863223,-1416186238853000192,0.0,138.6420688012597,1412.2564296239898,0.0,0,21,0.0,16431,349459283627176,487,20.82200050354004,886.4763847192485,0.14999,16,0.0,0.0,1575420030,,,,0,3.5883785142858544,1,6.0,20.82200050354004,0.0,0.0,0.0,66.7128,C,29925471000000,
Raw,1732151041367,20514000000,,33353073.878863223,-1416186238853000192,0.0,138.6420688012597,1412.2564296239898,0.0,0,11,0.0,17,964926,797,16.0,-53.07874475225792,0.14999,16,0.0,0.0,1602000000,,,,0,0.0,3,6.0,16.0,0.0,0.0,-9.278575228483438,66.7128,C,29925471000000,
Raw,1732151041367,20514000000,,33353073.878863223,-1416186238853000192,0.0,138.6420688012597,1412.2564296239898,0.0,0,15,0.0,16431,349459292507172,797,14.699999809265137,488.68646322649676,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,14.699999809265137,0.0,0.0,0.0,66.7128,C,29925471000000,
